datetime,count
2017-04-10,382
2017-04-11,292
2017-04-12,609
2017-04-13,342
2017-04-14,488
2017-04-15,453
2017-04-16,335
2017-04-17,383
2017-04-18,347
2017-04-19,508
2017-04-20,371
2017-04-21,513
2017-04-22,444
2017-04-23,240
2017-04-24,383
2017-04-25,351
2017-04-26,365
2017-04-27,429
2017-04-28,595
2017-04-29,544
2017-04-30,297
2017-05-01,280
2017-05-02,401
2017-05-03,444
2017-05-04,295
2017-05-05,378
2017-05-06,194
2017-05-07,200
2017-05-08,179
2017-05-09,274
2017-05-10,460
2017-05-11,363
2017-05-12,501
2017-05-13,320
2017-05-14,385
2017-05-15,245
2017-05-16,384
2017-05-17,477
2017-05-18,390
2017-05-19,440
2017-05-20,364
2017-05-21,238
2017-05-22,239
2017-05-23,374
2017-05-24,383
2017-05-25,281
2017-05-26,494
2017-05-27,422
2017-05-28,376
2017-05-29,342
2017-05-30,319
2017-05-31,550
2017-06-01,410
2017-06-02,435
2017-06-03,393
2017-06-04,400
2017-06-05,247
2017-06-06,434
2017-06-07,309
2017-06-08,280
2017-06-09,348
2017-06-10,461
2017-06-11,226
2017-06-12,219
2017-06-13,450
2017-06-14,399
2017-06-15,353
2017-06-16,370
2017-06-17,386
2017-06-18,314
2017-06-19,224
2017-06-20,299
2017-06-21,357
2017-06-22,259
2017-06-23,385
2017-06-24,477
2017-06-25,257
2017-06-26,208
2017-06-27,321
2017-06-28,333
2017-06-29,377
2017-06-30,348
2017-07-01,475
2017-07-02,318
2017-07-03,125
2017-07-04,407
2017-07-05,279
2017-07-06,263
2017-07-07,385
2017-07-08,475
2017-07-09,219
2017-07-10,146
2017-07-11,325
2017-07-12,347
2017-07-13,229
2017-07-14,400
2017-07-15,431
2017-07-16,204
2017-07-17,106
2017-07-18,221
2017-07-19,189
2017-07-20,189
2017-07-21,407
2017-07-22,595
2017-07-23,349
2017-07-24,152
2017-07-25,379
2017-07-26,339
2017-07-27,397
2017-07-28,385
2017-07-29,694
2017-07-30,396
2017-07-31,135
2017-08-01,317
2017-08-02,258
2017-08-03,313
2017-08-04,357
2017-08-05,459
2017-08-06,324
2017-08-07,225
2017-08-08,241
2017-08-09,258
2017-08-10,273
2017-08-11,291
2017-08-12,583
2017-08-13,100
2017-08-14,200
2017-08-15,275
2017-08-16,230
2017-08-17,261
2017-08-18,389
2017-08-19,413
2017-08-20,197
2017-08-21,182
2017-08-22,303
2017-08-23,197
2017-08-24,180
2017-08-25,331
2017-08-26,539
2017-08-27,274
2017-08-28,111
2017-08-29,316
2017-08-30,202
2017-08-31,186
2017-09-01,476
2017-09-02,474
2017-09-03,197
2017-09-04,222
2017-09-05,338
2017-09-06,197
2017-09-07,266
2017-09-08,477
2017-09-09,381
2017-09-10,336
2017-09-11,340
2017-09-12,345
2017-09-13,320
2017-09-14,224
2017-09-15,373
2017-09-16,390
2017-09-17,244
2017-09-18,204
2017-09-19,237
2017-09-20,145
2017-09-21,135
2017-09-22,271
2017-09-23,286
2017-09-24,277
2017-09-25,188
2017-09-26,209
2017-09-27,167
2017-09-28,372
2017-09-29,499
2017-09-30,1036
2017-10-01,817
2017-10-02,344
2017-10-03,371
2017-10-04,256
2017-10-05,220
2017-10-06,405
2017-10-07,256
2017-10-08,281
2017-10-09,212
2017-10-10,316
2017-10-11,230
2017-10-12,254
2017-10-13,360
2017-10-14,349
2017-10-15,230
2017-10-16,290
2017-10-17,280
2017-10-18,313
2017-10-19,202
2017-10-20,282
2017-10-21,389
2017-10-22,160
2017-10-23,209
2017-10-24,256
2017-10-25,225
2017-10-26,260
2017-10-27,303
2017-10-28,269
2017-10-29,178
2017-10-30,281
2017-10-31,103
2017-11-01,327
2017-11-02,189
2017-11-03,140
2017-11-04,291
2017-11-05,134
2017-11-06,283
2017-11-07,233
2017-11-08,364
2017-11-09,233
2017-11-10,152
2017-11-11,283
2017-11-12,68
2017-11-13,257
2017-11-14,137
2017-11-15,300
2017-11-16,183
2017-11-17,165
2017-11-18,291
2017-11-19,118
2017-11-20,156
2017-11-21,139
2017-11-22,108
2017-11-23,137
2017-11-24,124
2017-11-25,193
2017-11-26,124
2017-11-27,51
2017-11-28,146
2017-11-29,174
2017-11-30,119
2017-12-01,127
2017-12-02,157
2017-12-03,142
2017-12-04,125
2017-12-05,167
2017-12-06,143
2017-12-07,80
2017-12-08,152
2017-12-09,168
2017-12-10,157
2017-12-11,132
2017-12-12,88
2017-12-13,87
2017-12-14,198
2017-12-15,186
2017-12-16,152
2017-12-17,147
2017-12-18,98
2017-12-19,186
